,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
62,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,10.0
63,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,10.0
64,4.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,5.0,10.0
65,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0
66,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,5.0,10.0
67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,10.0
68,5.0,5.0,5.0,5.0,,5.0,5.0,2.0,,,,,,,10.0
69,5.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,5.0,3.0,10.0
70,5.0,4.0,2.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,8.0
71,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,7.0
72,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,2.0,,0.0,,,3.0,8.0
73,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0,10.0
74,5.0,2.0,3.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,9.0
75,5.0,4.0,4.0,5.0,1.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,2.0,8.0
76,3.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,8.0
77,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,10.0
78,5.0,5.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,10.0
79,4.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,9.0
80,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0
81,4.0,5.0,,4.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,,2.0,5.0,8.0
82,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,8.0
83,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,7.0
84,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,7.0
85,4.0,3.0,5.0,3.0,2.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0
86,4.0,2.0,5.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0
87,5.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,4.0,0.0,2.0,4.0,7.0
88,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,10.0
89,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0
90,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
91,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0
92,1.0,1.0,3.0,,,0.0,5.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,8.0
93,4.0,3.0,5.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0
94,4.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,10.0
95,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,4.0,8.0
96,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,7.0
97,3.0,5.0,3.0,3.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,,2.0,3.0,4.0
98,5.0,5.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,5.0,2.0,4.0,3.0,5.0,6.0
105,2.0,1.0,1.0,,1.0,4.0,5.0,1.0,,,,,,,
106,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,,,,,,,
107,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,
112,4.0,5.0,1.0,3.0,4.0,3.0,5.0,2.0,,,,,,,
